Product Name,Model_Number,Series,Color,Laptop_Category,MRP_cleaned,Selling_Price_cleaned,Discount_pct,Price_Difference,Rating_cleaned,Ratings_Count_cleaned,Reviews_Count_cleaned,RAM_GB,RAM_Type,SSD_GB,Screen_Size_inches,Screen_Size_cm,Weight_kg,Processor_Brand,Processor_Name,Processor_Generation_cleaned,Operating_System,Refresh_Rate_Hz,Has_Touchscreen,Is_Gaming_Laptop,Has_OLED_Display,In_Stock,Performance_Score,Warranty_Summary,URL,Review_Count,Review_Summaries,Average_Sentiment,Has_Reviews
"ASUS Vivobook S 15 OLED Powered, Intel EVO H Series, AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) S5506MA-MA752WS Thin and Light Laptop (15.6 Inch, Neutral Black, 1.50 kg, With MS Office)",S5506MA-MA752WS,"Vivobook S 15 OLED Powered, Intel EVO H Series, AI PC",Neutral Black,Thin and Light,122990.0,96990.0,21.0,26000.0,4.1,83,9,16,LPDDR5X,1000.0,15.6,39.62,1.5,Intel,Core Ultra 7,13.0,Windows 11 Home,120.0,False,False,True,True,74.0,1 Year Onsite Warranty,https://www.flipkart.com/asus-vivobook-s-15-oled-powered-intel-evo-h-series-ai-pc-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-s5506ma-ma752ws-thin-light-laptop/p/itmd459f255adcc2?pid=COMHYYZNKMEMXHD3&lid=LSTCOMHYYZNKMEMXHD373QRGV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_8_170&otracker=search&otracker1=search&fm=organic&iid=c74621ce-3809-4f78-bf4f-3608f9f78019.COMHYYZNKMEMXHD3.SEARCH&ppt=None&ppn=None&ssid=lxgwec2qrk0000001754328594002&qH=c06ea84a1e3dc3c6,9,Wonderful; Must buy!; Highly recommended; Highly recommended; Horrible; Did not meet expectations; Unsatisfactory; Awesome; Terrific,Positive,True
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Metallic Design, Copilot+ PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) S3407QA-KP027WS Thin and Light Laptop (14 inch, Matte Gray, 1.39 Kg, With MS Office)",S3407QA-KP027WS,"Vivobook S14 (2025) with Office 2024 + M365 Basic*, Metallic Design, Copilot+ PC",Matte Gray,Thin and Light,92990.0,67990.0,26.0,25000.0,4.5,13,0,16,LPDDR5X,512.0,14.0,35.56,1.39,Qualcomm,Snapdragon X,13.0,Windows 11 Home,60.0,False,False,False,True,37.12,1 Year Onsite Warranty,https://www.flipkart.com/asus-vivobook-s14-2025-office-2024-m365-basic-metallic-design-copilot-pc-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-s3407qa-kp027ws-thin-light-laptop/p/itmafafdebe9e0fe?pid=COMH9SJ9R2XPUEKZ&lid=LSTCOMH9SJ9R2XPUEKZ5XQBHY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_15_341&otracker=search&otracker1=search&fm=organic&iid=en_ddhDAxQk6DtEjgAdabXPSgmr1PlZFFUpr7eBujQS2GnN5LyABYacCXgpqYQtjTdDhHOU_EoKM_kk5XqmT02CFvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9og300s8w00000001754328624318&qH=c06ea84a1e3dc3c6,0,Just wow!; Fabulous!; Does the job; Value-for-money; Useless product; Terrific purchase,Unknown,False
"ASUS Zenbook AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) UX3405MA-PP555WS Notebook (14 inch, Ponder Blue, 1.20 kg, With MS Office)",UX3405MA-PP555WS,Zenbook AI PC,Ponder Blue,Notebook,129990.0,89990.0,30.0,40000.0,4.3,33,1,16,LPDDR5X,1000.0,14.0,35.56,1.2,Intel,Core Ultra 5,13.0,Windows 11 Home,120.0,False,False,True,True,74.0,1 Year Onsite Warranty,https://www.flipkart.com/asus-zenbook-ai-pc-intel-core-ultra-5-125h-16-gb-1-tb-ssd-windows-11-home-ux3405ma-pp555ws-notebook/p/itme558649a56b23?pid=COMH7NDZEXVHVHQH&lid=LSTCOMH7NDZEXVHVHQHOL6UMB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_70&otracker=search&otracker1=search&fm=organic&iid=48a7e8b2-46c1-460c-b137-bf2db29e3d69.COMH7NDZEXVHVHQH.SEARCH&ppt=None&ppn=None&ssid=ipn9oib8io0000001754328570743&qH=c06ea84a1e3dc3c6,1,Does the job,Mixed,True
"ASUS Vivobook 15 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ2325WS Thin and Light Laptop (15.6 Inch, 1B&Quiet Blue, 1.7 Kg, With MS Office)",X1504VA-NJ2325WS,Vivobook 15,1B&Quiet Blue,Thin and Light,56990.0,35990.0,36.0,21000.0,4.2,692,53,16,DDR4,512.0,15.6,39.62,1.7,Intel,Core i3,13.0,Windows 11 Home,60.0,False,False,False,True,37.12,1 Year Onsite Warranty,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-x1504va-nj2325ws-thin-light-laptop/p/itm35fb3f9516635?pid=COMH9499CDEZTNHX&lid=LSTCOMH9499CDEZTNHXLD7KLF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_3_51&otracker=search&otracker1=search&fm=organic&iid=en_gZ7fHRSXuV3qo68V-giQ2lIEaGDXwWfZLykB3UIjgYLQ7-jxQaAUk8GGCgcplbm0tefm174SzSD4B7WTgbkFEfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ipn9oib8io0000001754328570743&qH=c06ea84a1e3dc3c6,10,Great product; Classy product; Good; Delightful; Really Nice; Awesome; Awesome; Nice; Not good; Very Good,Positive,True
"ASUS ROG Zephyrus G14 (2025) with Office 2024 + M365 Basic* AMD Ryzen AI 9 12 Core HX 370 - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA GeForce RTX 5070 Ti/120 Hz/120 W) GA403WR-QS123WS Gaming Laptop (14 inch, Eclipse Gray, 1.57 kg, With MS Office)",GA403WR-QS123WS,ROG Zephyrus G14 (2025) with Office 2024 + M365 Basic*,Eclipse Gray,Gaming,299990.0,279990.0,6.0,20000.0,4.4,0,0,32,LPDDR5X,2000.0,14.0,35.56,1.57,AMD,Ryzen AI 9 12 Core,13.0,Windows 11 Home,120.0,False,True,True,True,166.0,1 Year Onsite Warranty,https://www.flipkart.com/asus-rog-zephyrus-g14-2025-office-2024-m365-basic-amd-ryzen-ai-9-12-core-hx-370-32-gb-2-tb-ssd-windows-11-home-12-gb-graphics-nvidia-geforce-rtx-5070-ti-120-hz-120-w-ga403wr-qs123ws-gaming-laptop/p/itmbc252f9d7aae4?pid=COMHBGQ4YJHKMMPM&lid=LSTCOMHBGQ4YJHKMMPMZPTJXT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_14_335&otracker=search&otracker1=search&fm=organic&iid=873aa31c-5a34-4d96-931c-f9d12fc1ea07.COMHBGQ4YJHKMMPM.SEARCH&ppt=None&ppn=None&ssid=ssie8mkrjk0000001754328619860&qH=c06ea84a1e3dc3c6,0,Just wow!; Fabulous!; Does the job; Value-for-money; Useless product; Terrific purchase,Unknown,False
"ASUS ROG Strix G16 Intel Core i7 13th Gen 13650HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050/165 Hz) G614JU-N4200WS Gaming Laptop (16 inch, Eclipse Gray, 2.5 Kg, With MS Office)",G614JU-N4200WS,ROG Strix G16,Eclipse Gray,Gaming,153990.0,113990.0,25.0,40000.0,4.5,129,12,16,DDR5,1000.0,16.0,40.64,2.5,Intel,Core i7,13.0,Windows 11 Home,60.0,False,True,False,True,92.0,1 Year Onsite Warranty,https://www.flipkart.com/asus-rog-strix-g16-intel-core-i7-13th-gen-13650hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-165-hz-g614ju-n4200ws-gaming-laptop/p/itmba9dc9051be27?pid=COMH9499GG8CVCXM&lid=LSTCOMH9499GG8CVCXMKCI1GP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_5_110&otracker=search&otracker1=search&fm=organic&iid=0c2bb796-48d7-4e7e-998e-23aa8a4b1059.COMH9499GG8CVCXM.SEARCH&ppt=None&ppn=None&ssid=zwho5v1mo00000001754328579295&qH=c06ea84a1e3dc3c6,10,Mind-blowing purchase; Brilliant; Simply awesome; Mind-blowing purchase; Must buy!; Great product; Perfect product!; Value-for-money; Awesome; Perfect product!,Positive,True
"ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ131WS Thin and Light Laptop (15.6 Inch, Cool Silver, 1.63 Kg, With MS Office)",E1504FA-NJ131WS,Vivobook Go 15,Cool Silver,Thin and Light,44990.0,30990.0,31.0,14000.0,4.2,339,24,8,LPDDR5,512.0,15.6,39.62,1.63,AMD,Ryzen 3 Quad Core,13.0,Windows 11 Home,60.0,False,False,False,True,21.12,1 Year Onsite Warranty,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj131ws-thin-light-laptop/p/itm1a9101a401f3c?pid=COMH94998FGG8FHG&lid=LSTCOMH94998FGG8FHGURVZSF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_14_331&otracker=search&otracker1=search&fm=organic&iid=en_pNy0zQ_7F9tQEIVUGiuTeFlEAS1YERmKaBqOn1k3sP4sD3oHk7f29Yilc70lhuRZRPIyu8OjRJJjrosITZPyhPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=ssie8mkrjk0000001754328619860&qH=c06ea84a1e3dc3c6,10,Great product; Perfect product!; Value-for-money; Pretty good; Good choice; Good quality product; Brilliant; Simply awesome; Terrific purchase; Terrific purchase,Positive,True
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) X1607QA-MB050WS Thin and Light Laptop (16 Inch, Cool Silver, 1.88 Kg, With MS Office)",X1607QA-MB050WS,"Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC",Cool Silver,Thin and Light,84990.0,56826.0,33.0,28164.0,4.1,82,8,16,LPDDR5X,512.0,16.0,40.64,1.88,Qualcomm,Snapdragon X,13.0,Windows 11 Home,60.0,False,False,False,False,37.12,1 Year Onsite Warranty,https://www.flipkart.com/asus-vivobook-16-2025-copilot-pc-office-2024-m365-basic-ai-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-x1607qa-mb050ws-thin-light-laptop/p/itm027fd729972e0?pid=COMH9EVGYMHA7TK4&lid=LSTCOMH9EVGYMHA7TK4BDDAVP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_202&otracker=search&otracker1=search&fm=organic&iid=en_p0GS1cfv_uhZ42WJFHjKP4LqTtqVAI047WACxlKvJfXW9AwUcfo0VqqDCUgF0_9866Z7FnEQrqWZS60LYqTbfPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4qzt9z5ui80000001754328598267&qH=c06ea84a1e3dc3c6,8,Good choice; Excellent; Awesome; Fabulous!; Useless product; Terrible product; Good; Brilliant,Positive,True
"ASUS VivoBook 15 Intel Core i3 10th Gen 1005G1 - (8 GB/1 TB HDD/Windows 11 Home) X515JA-BQ302W Thin and Light Laptop (15.6 inch, Transparent Silver, 1.80 kg)",X515JA-BQ302W,VivoBook 15,Transparent Silver,Thin and Light,43990.0,35448.0,19.0,8542.0,3.1,7,6,8,DDR4,512.0,15.6,39.62,1.8,Intel,Core i3,10.0,Windows 11 Home,60.0,False,False,False,True,16.0,1 Year Onsite Warranty,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-10th-gen-1005g1-8-gb-1-tb-hdd-windows-11-home-x515ja-bq302w-thin-light-laptop/p/itmee696f665be05?pid=COMGDBY5FN8FKCHM&lid=LSTCOMGDBY5FN8FKCHMGGLNXB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_9_216&otracker=search&otracker1=search&fm=organic&iid=006572e1-a400-4ad1-b870-fe0a3e551de7.COMGDBY5FN8FKCHM.SEARCH&ppt=None&ppn=None&ssid=4qzt9z5ui80000001754328598267&qH=c06ea84a1e3dc3c6,6,Don't waste your money; Horrible; Worthless; Utterly Disappointed; Classy product; Absolute rubbish!,Negative,True
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Metallic Design, Copilot+ PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) S3407QA-KP027WS Thin and Light Laptop (14 inch, Matte Gray, 1.39 Kg, With MS Office)",S3407QA-KP027WS,"Vivobook S14 (2025) with Office 2024 + M365 Basic*, Metallic Design, Copilot+ PC",Matte Gray,Thin and Light,92990.0,67990.0,26.0,25000.0,4.5,13,0,16,LPDDR5X,512.0,14.0,35.56,1.39,Qualcomm,Snapdragon X,13.0,Windows 11 Home,60.0,False,False,False,True,37.12,1 Year Onsite Warranty,https://www.flipkart.com/asus-vivobook-s14-2025-office-2024-m365-basic-metallic-design-copilot-pc-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-s3407qa-kp027ws-thin-light-laptop/p/itmafafdebe9e0fe?pid=COMH9SJ9R2XPUEKZ&lid=LSTCOMH9SJ9R2XPUEKZ5XQBHY&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_272&otracker=search&otracker1=search&fm=organic&iid=en_lc1rjICFoxyPZwi1fXvdIWDoJ77hLyR-puG431RTEUVlL27mKcEd3j7zL6e9XyLk1I_qqfPkF5wYmr6q5DgGhfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4ohfr4ytkw0000001754328611809&qH=c06ea84a1e3dc3c6,0,Just wow!; Fabulous!; Does the job; Value-for-money; Useless product; Terrific purchase,Unknown,False
